iter	F1	Logloss
0	0.5607865998	0.6874506784
1	0.6277588563	0.6767518395
2	0.6687706482	0.6687487213
3	0.7086651863	0.6563939464
4	0.7449651828	0.6443285589
5	0.7516239138	0.6382045324
6	0.7750344171	0.6282037903
7	0.8084650302	0.6134632309
8	0.8092001218	0.6115062767
9	0.8255308324	0.6032097557
10	0.8315574334	0.5987817653
11	0.8341689702	0.5937288009
12	0.8434920073	0.5872590094
13	0.8552718726	0.5790494398
14	0.858725005	0.5763097543
15	0.8646364875	0.5716059837
16	0.8713506764	0.5658887277
17	0.8800036005	0.5586155107
18	0.8893870513	0.5506380074
19	0.8937092518	0.5445567303
20	0.9007617458	0.5369503136
21	0.909336247	0.5282384301
22	0.9096691164	0.5282047987
23	0.9115030308	0.5252975958
24	0.9144646366	0.5198658958
25	0.9168030609	0.5142159825
26	0.9212711579	0.5079898095
27	0.9257845395	0.5004127757
28	0.929669669	0.4935314212
29	0.9352716034	0.4863154005
30	0.9377383072	0.4826190756
31	0.941463816	0.4781096119
32	0.9431928788	0.4740243561
33	0.9477834894	0.4687176499
34	0.950092352	0.464940199
35	0.9502502869	0.4633383164
36	0.9518495081	0.4610783388
37	0.9572389559	0.4527256467
38	0.9617629841	0.4424636322
39	0.9634598871	0.4375150328
40	0.9635331481	0.4367732264
41	0.963700049	0.4367608499
42	0.964588279	0.4327813109
43	0.9662901437	0.4297020461
44	0.9668835652	0.4274835546
45	0.9681942801	0.4240688416
46	0.9694319049	0.4206148617
47	0.9712800751	0.4137558459
48	0.9729704938	0.4095585429
49	0.9739766029	0.405348793
50	0.9770558932	0.3995931199
51	0.9781034809	0.3959270954
52	0.9798721179	0.3908275407
53	0.9809711021	0.3875795963
54	0.9817352095	0.3837665036
55	0.9820503507	0.3809076069
56	0.9840568623	0.3751527749
57	0.9846491552	0.3713172912
58	0.9858200194	0.3674936523
59	0.9863204197	0.3633195297
60	0.9877395792	0.3581791632
61	0.9892356444	0.3536710325
62	0.9900721801	0.348010724
63	0.9912419895	0.3435134216
64	0.9914932145	0.3400433665
65	0.9922446476	0.3368378623
66	0.9929884958	0.3326777858
67	0.9931571786	0.3291350755
68	0.993826174	0.3233906119
69	0.9942439741	0.3207956716
70	0.9949110716	0.3155267286
71	0.9952461066	0.3124159257
72	0.9954983928	0.3099060313
73	0.9964159051	0.3047762063
74	0.9966653123	0.3009039602
75	0.9970022987	0.2971148304
76	0.9971654172	0.2937456626
77	0.9979978923	0.2888869459
78	0.9978322204	0.2869887313
79	0.9979999487	0.2844144199
80	0.9982484773	0.2807668864
