iter	Passed	Remaining
0	41	49290
1	83	50295
2	130	52040
3	173	51948
4	230	55112
5	278	55519
6	321	54773
7	367	54749
8	416	55100
9	460	54855
10	509	55022
11	556	55079
12	603	55137
13	652	55264
14	701	55390
15	744	55056
16	786	54751
17	831	54596
18	877	54553
19	943	55687
20	1005	56455
21	1056	56597
22	1060	54287
23	1116	54686
24	1167	54873
25	1227	55410
26	1299	56455
27	1358	56872
28	1432	57853
29	1500	58511
30	1664	62781
31	1817	66345
32	1960	69316
33	2110	72387
34	2296	76456
35	2446	79092
36	2516	79095
37	2578	78840
38	2630	78318
39	2683	77824
40	2704	76464
41	2708	74689
42	2768	74501
43	2862	75196
44	2990	76747
45	3135	78660
46	3237	79428
47	3369	80873
48	3513	82520
49	3619	83251
50	3727	83986
51	3817	84288
52	3917	84790
53	4031	85566
54	4158	86571
55	4305	87959
56	4452	89278
57	4570	89994
58	4661	90154
59	4760	90453
60	4870	90936
61	5002	91819
62	5103	92106
63	5227	92790
64	5398	94274
65	5558	95502
66	5720	96728
67	5796	96495
68	5868	96198
69	5938	95867
70	6005	95491
71	6061	94969
72	6113	94375
73	6186	94133
74	6245	93682
75	6297	93129
76	6347	92568
77	6397	92020
78	6448	91496
79	6497	90963
80	6544	90411
